career,career_category
"Academia, Research, Banking, Life",academic
academia,academic
Academic,academic
Academic or Research staff,academic
research in industry or academia,academic
academic,academic
academics,academic
academic research,academic
academician,academic
academic,academic
Academic Physician,academic
Academic (Law),academic
academia,academic
academia,academic
Academia,academic
Academia; Research; Teaching,academic
academic or consulting,academic
Academia or UN,academic
University President,academic
Director of Admissions,academic
Academic,academic
acadeic,academic
Academic/ Finance,academic
"Academic Work, Consultant",academic
Historian,academic
"physicist, probably academia",academic
Neuroscientist/Professor,academic
Actress,acting
Acting,acting
Actress,acting
Art educator and Artist,art
Artist,art
Art Management,art
Business - Investment Management,business
business,business
MBA,business
Business,business
Business,business
International Business,business
Business,business
Biotech/business,business
International Business,business
Business,business
Int'l Business,business
business,business
M&A Advisory,business
business,business
Business Management,business
Business/Law,business
Business,business
Business,business
Business Management and Information Technology,business
ceo,ceo
CEO,ceo
CEO in For Profit Biomedical Organization,ceo
Industry CTO/CEO,ceo
Organizational Change Consultant,consulting
consulting,consulting
consulting,consulting
Management Consulting,consulting
management consulting,consulting
Consulting,consulting
Consulting,consulting
consulting,consulting
Management Consultant,consulting
Venture Capital/Consulting/Government,consulting
Pharmaceuticals/Consulting,consulting
Consulting,consulting
Consulting,consulting
Consulting,consulting
Business Consulting,consulting
CONSULTING,consulting
Consultin \ Management,consulting
Consulting,consulting
Consulting,consulting
Management Consulting,consulting
Management Consulting,consulting
"Consulting, later Arts or Non-Profit",consulting
Management Consulting,consulting
Management Consulting,consulting
consultant,consulting
Consulting,consulting
Counseling Adolescents,counselor
School Counseling,counselor
manage a museum or art gallery,curator
Museum Work (Curation?),curator
Architecture and design,design
Civil Engineer,development work
Development work on field in the middle of nowhere,development work
Development work,development work
Program development / policy work,development work
Director of Training and Development,development work
Urban Planner,development work
Planning,development work
Diplomat / Int'l civil servant,diplomat
Diplomat/Business,diplomat
Diplomat,diplomat
Work at the UN,diplomat
Foreign Service,diplomat
Economist,economist
Wall Street Economist,economist
Education Administration,education
Education,education
professional student,education
education,education
Education Policy Analyst,education
teaching/education,education
curriculum developer,education
Education,education
Educator,education
Early Childhood Ed. - College/univ. faculity,education
EDUCATION ADMINISTRATION,education
education,education
Elementary Education Teaching,education
